"","ksat","ndvi_mean_years","ndvi_years_range","ndvi_mean_summer","ndvi_summer_range","mean_slope","sd_slope","median_slope","q5_slope","q95_slope","mean_aspect","sd_aspect","median_aspect","q5_aspect","q95_aspect","mean_twi","sd_twi","median_twi","q5_twi","q95_twi","dem1k","tm_1","tm_2","tm_3","tm_4","tm_5","tm_6","tm_7","tm_8","tm_9","tm_10","tm_11","tm_12","rr_mean","rr_range","soil_unit.1","soil_unit.2","soil_unit.3","soil_unit.4","soil_unit.5","soil_unit.6","soil_unit.7","soil_unit.10","landcover.11","landcover.12","landcover.31","landcover.60","landcover.91","landcover.93","landcover.122","landcover.125","landcover.126","lithology.6","lithology.18","DEPTH"
"51",610.0275022,0.517079592,0.193259627,0.591303051,0.220115393,0.041462589,0.017751232,0.03982614,0.013582057,0.07074777,2.091615915,1.009247422,1.925785065,0.81954664,3.805328846,7.725095272,0.588448465,7.725812912,6.866300583,8.754742622,512.9603271,-2.503553867,-0.915240705,3.046610117,7.871243,12.49488831,15.8647747,17.63624954,17.38359833,13.26019764,8.18614006,2.839576244,-1.183296919,599.2830811,465.7000122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"52",757.4926479,0.548998892,0.174571157,0.638013542,0.143715382,0.07008338,0.062694505,0.053773284,0.013394494,0.180405021,2.08120656,1.322108746,1.787669182,0.327874124,4.236663342,7.666440964,0.740935862,7.744036198,6.487071991,8.747483253,483.6702881,-2.427419424,-0.808017433,3.179825068,8.03471756,12.66003323,16.03881454,17.81284904,17.5559597,13.40443516,8.286276817,2.947146893,-1.09658289,594.2983398,453.5000305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"53",518.5128587,0.519082248,0.20534423,0.591701031,0.239269227,0.065917954,0.055730335,0.050133124,0.011311146,0.169076234,2.662355185,1.142422795,2.977634907,0.551608145,4.344400883,7.416775227,0.642698228,7.489485741,6.347204685,8.311286926,491.6010132,-2.452050447,-0.84002775,3.143165827,7.992712021,12.61640263,15.99268436,17.76730537,17.51325798,13.36757088,8.257463455,2.913502932,-1.125095725,590.6339111,440.9000244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"54",483.8805847,0.490485728,0.157176077,0.569787502,0.22375381,0.041465037,0.042606764,0.028523777,0.009304417,0.121092342,3.693052769,1.397636533,3.639407635,1.205588222,5.911345482,8.507549286,0.478082746,8.515112877,7.79014349,9.229990005,487.6034851,-2.435811996,-0.815787554,3.171186447,8.026948929,12.65125751,16.02915192,17.80486679,17.54915237,13.39870071,8.280891418,2.935875654,-1.106779695,588.9847412,428.9000244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"55",429.9670736,0.523832858,0.165111542,0.602280259,0.174530804,0.038786042,0.025109665,0.035295505,0.007380555,0.082853168,2.290189743,1.473039269,2.258844137,0.433860809,4.62084341,7.999907494,0.690770745,7.972275257,6.947340488,9.127300262,492.0750122,-2.460634232,-0.847748816,3.133707047,7.985169888,12.60828304,15.98237324,17.7592411,17.50598717,13.36285305,8.253170967,2.902316332,-1.135347247,591.4356079,425.3000183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,10
"56",664.2999878,0.541429937,0.182111531,0.623189688,0.285230756,0.123398244,0.105499372,0.090611875,0.015586426,0.373857647,2.937157154,1.56717968,3.197530746,0.47312218,5.426172256,6.612709045,0.835376799,6.705173016,5.132274628,7.855459213,507.4430847,-2.489447832,-0.88395673,3.091306686,7.937457561,12.559268,15.93073463,17.70863914,17.45724487,13.31983089,8.222935677,2.866666794,-1.166921854,594.5407104,423.8999939,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"57",581.0763137,0.491784751,0.211309642,0.565465689,0.238530755,0.030936159,0.020247677,0.024833474,0.008657127,0.068997443,2.707499981,1.487099171,2.87519002,0.390633643,5.550717354,8.098659515,0.671641171,8.231379509,6.709039688,8.989853859,506.265625,-2.489748478,-0.882411063,3.094969988,7.941808224,12.56396961,15.93556499,17.71399689,17.46323204,13.3240118,8.225615501,2.866836309,-1.167304516,598.4779663,425.1000061,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"58",873.4681522,0.501375198,0.261490405,0.578062534,0.264623076,0.035798568,0.028425053,0.02772863,0.008580611,0.090375975,2.746301174,1.140693903,2.99790144,0.873062789,4.323485851,8.830629349,0.502619922,8.888049126,7.951958179,9.519411087,495.3188477,-2.468726158,-0.851371408,3.133242369,7.992231846,12.6152544,15.98853111,17.76861763,17.51686668,13.36889839,8.254811287,2.895904064,-1.144368529,599.5627441,423.0000305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"59",664.2999878,0.477175385,0.217101932,0.558555186,0.213553846,0.057822671,0.05052726,0.045862805,0.010549532,0.14915897,3.545506954,1.254850745,3.728594303,0.788705826,5.364022732,7.680268288,0.553109586,7.674042702,6.815153599,8.511307716,521.7745361,-2.539693832,-0.942307115,3.024330378,7.867316723,12.48955727,15.8550005,17.63491058,17.3890934,13.25997162,8.174685478,2.80395484,-1.22219789,599.4101563,421.2000122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"60",417,0.45816499,0.184307694,0.540451765,0.276407659,0.035967678,0.011909078,0.03644833,0.017290059,0.05441162,1.623085618,0.89782095,1.249572515,0.645321608,3.417388678,7.728851318,0.285129219,7.732847214,7.302998543,8.218862534,506.0687866,-2.474631071,-0.856244266,3.128868341,7.989350319,12.61052513,15.98415279,17.76648521,17.51678467,13.36751461,8.252924919,2.889237404,-1.152296305,596.2457886,427.1000366,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10
