rowid,prof7_id,sand,clay,silt,DEPTH,x,y,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
25,125,22,26,52,10,619000,357000,3.707216412,1.147879488,-1.434458432,1.646897118,0.156990753,0.944722052,0.528770472,0.013347349,0.093036899,-0.094383172,0.038944193,0.009302734,0.032105068,0.01667194,-0.154786003,0.354841839,0.162095138,1.619465186,0.075565173,0.962367067,0.911791596,-3.91601139,-2.385393535,3.159926136,-1.15403629,-1.373173035,0.239760238,-0.212860593,-0.02281304,-1.344827565,-0.477312925,3.103131247
26,126,34,25,41,10,619000,374000,4.089298343,1.812490694,-0.36068979,-2.278455459,1.960382232,1.251359521,-2.081191987,-0.158157149,0.26597232,0.280175311,-0.089383146,0.005331499,-0.100850574,0.789568776,-0.181061887,-1.165289783,-0.937073848,0.672514049,0.232915055,-0.093803293,-0.134349848,-0.136404071,0.042627724,-0.220722984,0.089427546,-0.056939754,-0.01467572,-0.02268147,-0.015642174,0.078072588,0.330986829,-0.175977659
27,127,8,24,68,10,619000,379000,6.044900989,-2.901039024,-0.490883549,-1.61495704,0.652470844,1.712889861,3.317972004,-2.459770306,-1.001405381,-7.437675563,-4.762055816,-1.658865899,-0.151913255,0.345712934,1.1808009,0.080428895,-1.096425762,-0.835123972,0.12403591,2.310561798,-0.089405568,3.773128653,0.320400706,0.875513487,-1.173403707,-0.286972078,-0.02820536,0.243426936,0.038702821,-0.300046315,-1.52508005,1.59989286
28,128,21,27,52,10,619000,385000,4.816572833,-1.838596191,-0.868665045,1.778944353,0.949814623,-0.162631039,-1.206422374,0.587770858,-0.395161462,0.64684703,-0.289539936,-0.246106243,0.212800866,-1.276874194,1.666935374,1.907159221,-0.039960447,0.671352942,0.117505802,2.311778263,-0.022226993,3.710204555,0.22419103,0.740836095,-0.968738265,-0.422411504,-0.013083028,0.14781318,0.002728949,0.490868923,-1.31600829,0.418425334
29,129,41.5,14,44.5,10,619000,390000,3.908102772,-0.443139826,-0.953953315,0.939862895,0.695854932,-0.443621637,-0.540774988,0.812847616,-0.378408595,0.551199439,-0.005667942,-0.220241272,0.155979392,-1.230599514,0.246159427,1.485151127,-0.031672055,1.107925985,-0.339101159,-0.348703131,0.321747009,-0.038969761,0.275654627,-0.151262996,-0.102634861,-0.004875682,-0.051282987,0.037648414,-0.019814543,0.898939841,-0.75109032,-1.744726114
30,130,39,11,50,10,619000,396000,3.510236847,1.644321358,0.496075877,-1.698930341,2.252932792,1.602976279,-1.756210789,0.094732212,-0.448836902,0.746027506,-0.048005223,-0.045550292,-0.033952842,-0.711808678,0.669550696,-0.780560829,-0.579480963,-1.878782508,0.876476625,1.66517476,-1.840809094,-2.5850247,0.631761847,-4.400842842,-2.595509442,0.343127584,0.222699645,-0.05698283,-0.054801826,3.161595019,-0.950039054,2.481155856
31,131,18,35,47,10,621000,354000,3.671125031,1.875047048,-0.696591389,-2.560323983,1.83446203,1.968069606,-2.077654808,-0.267947331,-0.262728921,0.751795416,-0.481259092,1.38E-04,-0.030368669,-0.116078985,1.324803573,-0.756468501,0.150614092,1.147096344,0.571527487,-0.222344267,-0.007497428,-0.155967046,0.246159362,-0.180294668,0.148378028,-0.038231007,-0.038647764,-0.055098828,-0.018377261,0.169550121,-0.112645916,-0.47118089
32,132,34,14,52,10,621000,376000,3.480918777,2.301272486,-2.158593069,0.906956478,-0.612170201,1.114631946,0.294840462,-0.27857693,0.256048573,-0.059046874,-0.257922336,-0.019483012,0.039632734,0.514119549,0.537705893,0.008153299,0.922079293,1.734002222,0.756622903,-0.03531637,-0.32118623,-0.27778963,0.15990632,-0.322216973,0.322722922,-0.072050466,0.029570659,-0.157815085,-0.033543119,-0.046849148,0.422121086,-0.06769568
33,133,23,23,54,10,621000,382000,5.02251191,-1.315767709,-1.181276346,0.738246483,0.559386371,-0.174039235,-0.871690127,0.427852905,0.216163809,0.15536186,0.013739657,-0.318876105,0.162642164,0.043559805,0.345265263,1.12849053,0.688825711,0.595154817,0.513059391,-0.341425689,0.220578536,-0.162943386,0.419763893,-0.10700572,-0.067505215,0.060842546,-0.083217954,0.008713679,-0.01260195,0.379805912,-1.247181782,-2.072007145
34,134,31.25,13,55.75,10,621000,387000,3.802329639,0.979815915,0.23549879,-1.018949795,1.748613557,1.228066719,-2.536245443,-0.36080523,-0.275412258,0.851967056,-0.470144315,0.059252655,-0.179062085,-0.238775873,1.848327709,-1.507528307,-0.531867304,-1.162845438,-2.858704075,0.864100057,-0.742554931,-0.174415064,-0.483834094,-0.135973684,0.182539437,0.00164458,-0.035206749,0.046701456,0.047589913,-0.252453702,1.16354938,0.074146927
