rowid,prof7_id,sand,clay,silt,DEPTH,ndvi_mean_years,ndvi_years_range,ndvi_mean_summer,ndvi_summer_range,mean_slope,sd_slope,median_slope,q5_slope,q95_slope,mean_aspect,sd_aspect,median_aspect,q5_aspect,q95_aspect,mean_twi,sd_twi,median_twi,q5_twi,q95_twi,dem1k,tm_1,tm_2,tm_3,tm_4,tm_5,tm_6,tm_7,tm_8,tm_9,tm_10,tm_11,tm_12,rr_mean,rr_range,soil_unit,landcover,lithology
24,5024,58.5,18.7,22.8,10,0.302358001,0.069276929,0.360880852,0.094061553,0.016100785,0.017485829,0.011356774,0.002402465,0.046641685,2.734382868,1.492980003,2.758812428,1.613909483,5.587683678,9.459643364,0.286363453,9.447980881,8.991710663,9.955621719,438.1188354,-2.500710726,0.286788255,4.894013405,9.586327553,14.23526573,17.77635574,19.55177689,19.10642433,15.13262749,9.941935539,3.838559389,-1.615172267,914.0932617,571.3999634,4,11,1
25,5025,38.4,22.4,39.2,10,0.507864058,0.179910451,0.644533992,0.269615412,0.011322421,0.019266417,0.007620618,0.002018619,0.024568263,2.65260148,1.512973666,2.485217571,0.493016779,5.790008545,9.952030182,0.385968238,9.980422974,9.272950172,10.56113052,426.9618225,-2.45839262,0.343462467,4.955358028,9.641299248,14.29264641,17.82946396,19.60311699,19.15686226,15.17844677,9.992892265,3.891808033,-1.565746307,909.3745728,567.9000244,NA,122,1
26,5026,50.4,23.8,25.8,10,0.414678454,0.207750618,0.523216307,0.332746178,0.013518916,0.015799029,0.009227737,0.002364238,0.037680008,2.777590275,1.402181149,2.612740278,0.2201415,5.423212051,9.808698654,0.324098885,9.862134933,9.135252953,10.25127697,425.1241455,-2.453089237,0.353014112,4.963203907,9.646892548,14.29942608,17.83508492,19.60768127,19.1627388,15.18370056,9.998414993,3.898728848,-1.557681799,905.3660889,569.500061,6,122,1
27,5027,26.2,29.6,44.2,10,0.504480362,0.126633942,0.591591895,0.161723077,0.146776095,0.20703724,0.038580827,0.004779364,0.613452911,2.904031515,2.072171211,2.641946793,0.533758819,6.155457973,7.350625992,2.14302969,8.174022675,3.585886478,9.942169189,419.0612488,-2.431519985,0.379694402,4.99196291,9.675028801,14.32829475,17.86370087,19.63441849,19.18996811,15.20884228,10.02329159,3.924858809,-1.533269525,943.4017334,583.2000122,6,122,1
28,5028,49.8,19.9,30.3,10,0.49391976,0.123559624,0.577726483,0.142892271,0.089179799,0.135706559,0.023298474,0.003300059,0.406548321,2.884393692,1.895043492,2.85260582,1.766297936,6.13391304,7.48493433,1.790041208,7.421551704,4.463359833,10.03640366,426.1262207,-2.459103346,0.344065726,4.955139637,9.63909626,14.29048634,17.82757187,19.60024643,19.15382767,15.17689323,9.992373466,3.891582012,-1.565746307,938.4711914,576.7000122,6,122,1
29,5029,41.6,23.3,35.1,10,0.499951273,0.101465374,0.604099035,0.142030776,0.019067964,0.016648076,0.014370887,0.002872259,0.048045021,2.694806099,2.057162523,2.155738831,0.679978371,6.138363361,8.870197296,1.455531836,9.538081169,6.465827942,10.38225842,428.3070068,-2.468452692,0.332303584,4.94190836,9.629265785,14.28020763,17.81932259,19.5924015,19.14740372,15.16864395,9.982395172,3.879322052,-1.576161861,946.9390259,598.9000244,NA,125,1
30,5030,34.5,25.2,40.3,10,0.485116929,0.172926933,0.628982723,0.264192343,0.033432718,0.062103841,0.011283117,0.002431989,0.158781111,2.987985134,1.345818758,3.029869556,1.075243115,5.620673656,8.058405876,0.687385738,8.118545532,6.848378658,9.154931068,439.5682983,-2.514625549,0.288501918,4.890705585,9.561723709,14.21052551,17.74494362,19.52033997,19.07460403,15.10392666,9.933488846,3.833333492,-1.623974919,878.3356323,576.8000488,6,93,2
31,5031,51.875,18.45,29.675,10,0.402057767,0.165655613,0.494867325,0.252252221,0.090633489,0.095433891,0.059502322,9.41E-04,0.306926787,3.041260958,2.354095221,2.534154892,1.092413783,6.208565712,6.739949226,0.815213025,6.842635155,5.149323463,7.835715294,442.0560608,-2.305030107,0.509809434,5.103007317,9.708023071,14.3608532,17.88367271,19.67832184,19.23212242,15.26765537,10.14130688,4.025028229,-1.416566491,1066.237305,670.0999756,6,11,18
32,5032,41.65,26.175,32.175,10,0.66105932,0.109088957,0.76223886,0.166776955,0.094286084,0.078964785,0.070189014,0.017333578,0.264679581,2.524978638,1.396155357,2.483622789,0.598252594,5.48665905,6.652609825,0.726968467,6.807394028,5.147567749,7.637256622,558.9987793,-2.472498655,0.257945418,4.755877495,9.225056648,13.86596489,17.3791523,19.21987534,18.78570366,14.88358784,9.883980751,3.749011278,-1.625587821,1116.903442,716.0999756,6,93,2
33,5033,50.8,23.2,26,10,0.554187238,0.091901302,0.656703711,0.128430784,0.07492996,0.13485916,0.020973753,4.90E-04,0.431511998,2.870061874,1.699907064,2.65455246,1.045321941,5.877552986,7.506257057,1.122957587,7.70387888,5.532158852,9.140240669,496.4886475,-2.127774715,0.64987272,5.200574398,9.695565224,14.34551716,17.85355949,19.69037819,19.24825096,15.31646919,10.27525997,4.125395298,-1.269819617,1145.376343,730.7000122,6,91,2
