"","sand","clay","silt","DEPTH","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"56",28,31,41,10,6.053608778,2.533106147,-1.058978931,-0.329865803,-0.092625383,-1.086791525,-1.161037076,0.019755546,-0.836930139,0.217826575,0.183951757,-0.348698963
"57",4,40,56,10,4.006966999,-1.158606619,-0.141152093,-0.197764028,0.903291906,-0.606288892,-0.816888169,-0.139784068,-0.706423829,-0.301633344,-0.843404812,0.571687239
"58",14,34,52,10,4.318740345,-0.557400349,-0.0363357,0.033120931,1.354078087,-0.299541501,-1.517239278,-1.176783888,-0.578306618,-0.049633099,-0.3244005,0.504586343
"59",27,28,45,10,5.023922148,1.397801509,1.888712724,0.994518942,-0.260092763,0.872068736,-0.276930175,-0.161365819,-1.274883942,0.159980485,0.149746248,-0.032016756
"60",37,14,49,10,3.818130019,-1.108349834,-1.077277275,-0.397165703,1.331668482,0.590663041,-1.097650694,-0.696700112,-0.694600316,0.01352136,-0.514017268,-0.096116139
"61",52,12,36,10,5.443778818,1.897621933,2.474504656,-0.28898341,-0.277465786,0.332082549,-0.134331311,-1.043816697,-1.363965159,0.044584643,0.075968455,-0.691825263
"62",60,12,28,10,4.992514072,0.9845771,1.410023007,-0.264836389,-0.120031886,1.357090175,-0.557528726,-0.69206599,-0.535912414,-0.352517789,-0.195496799,-0.200133207
"63",31,21,48,10,3.13776399,-1.301562208,-0.345771434,0.67839816,0.966080802,0.342840636,-0.565303878,-0.186917412,0.135050816,-0.983924131,-0.255258496,0.543008954
"64",21,32,47,10,4.035208997,-0.920471364,-0.158238225,-1.487272216,0.459140765,0.141932621,0.187812791,0.745030326,-0.305415727,-0.450343445,-0.740953272,-0.152022032
"65",15,26,59,10,6.247246099,1.944333599,-0.563558426,1.09079742,0.186408398,-1.166287876,-1.744079177,-0.486774945,-1.256078043,-0.16223255,0.375237107,0.548049079
"66",34,31,35,10,5.976449487,3.150357518,0.120729357,0.150810207,-2.033860002,-1.073666617,-1.349399495,0.967365623,-0.379198842,-0.121847079,-0.316867841,0.010903217
"68",11,35,54,10,5.396328096,0.397685699,-0.674851264,1.571229848,-0.84449861,1.262318317,2.218615755,2.507566042,1.098339761,-0.862579896,0.537318421,0.244710026
